CountyId,State_x,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,ConstCarpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,FIPS,State_y
48137,Texas,Edwards County,2111,965,1146,56.9,43.1,0,0,0,0,1765,48462,24610,28968,13175,7,12.4,14,22.1,37.2,23.5,3.3,63.6,15.2,0,1.9,3,16.3,16.3,888,64.9,18.2,16.9,0,5.1,48137,TX
48139,Texas,Ellis County,164092,80837,83255,25.5,62.6,8.9,0.3,0.7,0,111526,67371,2205,28612,695,10.5,14.6,33.2,13.5,25.8,11.8,15.7,82,11.1,0.4,0.9,0.6,5,29.3,78597,79.5,13.1,7.2,0.2,4.6,48139,TX
48141,Texas,El Paso County,834825,409199,425626,82.2,12.4,3,0.3,1.1,0.1,488016,43244,675,19950,268,21.7,30.2,30.1,20.9,27,9.1,12.9,79.7,11,1.5,2,2.3,3.5,23.4,341350,74,19.5,6.3,0.1,7,48141,TX
48143,Texas,Erath County,41016,20118,20898,20.6,75.4,1.6,0.5,0.8,0,30429,47013,2530,23511,1391,22.6,21.5,32.1,21.6,19.5,12.1,14.8,81.8,10.2,0.3,2.5,0.7,4.5,19.9,19076,77,14,8.3,0.6,4.3,48143,TX
48145,Texas,Falls County,17289,8135,9154,22.8,51.5,24.3,0.2,0.2,0.1,12915,38834,4055,17755,973,25.2,37.7,23,19.1,20.3,14.5,23.1,78,11.1,1.1,3.7,2.9,3.2,26.7,5774,77.4,15.5,6.9,0.1,6.1,48145,TX
48147,Texas,Fannin County,33787,17846,15941,10.6,79.4,6.5,0.4,0.7,0.1,25406,47875,2798,23212,927,14.8,19.1,31.7,16.4,22.6,12.9,16.5,81.7,9.9,0,1.7,1.2,5.5,29.7,13407,72.5,19.9,7.3,0.3,5.2,48147,TX
48149,Texas,Fayette County,24963,12188,12775,20.4,71.9,6,0.1,0.7,0,18780,56941,5047,30405,1931,9.1,10.1,22.3,18.7,26.2,16.2,16.6,85.3,8.4,0.2,1.9,1,3.1,22.8,11626,75.9,13.5,10.2,0.4,1.5,48149,TX
48151,Texas,Fisher County,3875,1867,2008,29.8,66.5,2.9,0,0.5,0.1,2961,45294,3897,27750,3592,17.4,24.5,32.8,16.6,19.8,17.2,13.6,81.3,11,0,3.3,0.9,3.5,21.3,1728,68.3,18.2,13.1,0.4,5.6,48151,TX
48153,Texas,Floyd County,5953,2911,3042,57.8,37.9,2.5,0.2,0.3,0,4035,48767,4541,24347,2488,18.2,28.7,30,17.1,15.6,22.9,14.4,81,8.9,0.8,1.6,0.3,7.4,14.9,2444,75.3,15.1,9.6,0,6.4,48153,TX
48155,Texas,Foard County,1414,749,665,21.6,76.2,2.2,0,0,0,1096,50000,15300,26034,4635,5.7,5.3,22.2,22.7,23.5,15.1,16.6,84.3,10.9,0,2.4,0,2.4,20.8,591,60.9,27.1,11.2,0.8,11.3,48155,TX
48157,Texas,Fort Bend County,711421,349697,361724,24.2,34.4,20.2,0.2,19.2,0,434611,93645,1349,38382,621,8.1,10.7,50.4,12,23.1,6.4,8.1,82,9.7,1.6,0.5,1.3,4.9,33,339159,82.3,11.8,5.7,0.2,5.3,48157,TX
48159,Texas,Franklin County,10639,5409,5230,13.9,79.6,4.5,0.5,0,0.1,7429,43967,4356,23642,2098,15,22.8,24.3,14.6,26.8,16.9,17.4,82.5,8.9,0.4,1.5,1.2,5.5,23.9,4397,74,11.1,14.1,0.8,7.6,48159,TX
48161,Texas,Freestone County,19646,10224,9422,14.7,67.5,16.1,0.2,0.4,0,14290,45890,4462,24060,1797,17.3,26.4,26.4,24.9,19.3,14.1,15.3,82.9,12,0.1,1.6,0.7,2.7,25.7,7422,73.3,19.6,7.1,0,4.2,48161,TX
48163,Texas,Frio County,19110,11363,7747,78.5,16.4,3.6,0,0.6,0,12651,37382,4996,16833,2042,20.3,26.8,19.2,22.3,17.5,20.5,20.5,84.6,11,0.2,1.4,0.6,2.3,15.8,6859,76.6,16.8,6.6,0,7.3,48163,TX
48165,Texas,Gaines County,19889,10082,9807,40.6,56.3,2.3,0.1,0.5,0,10115,58167,5868,22656,2576,11,11.6,28.6,11.8,18.6,24.9,16.1,74.9,18.8,0,4.1,0.1,2.1,19,8134,76,12.5,11,0.4,4.5,48165,TX
48167,Texas,Galveston County,321184,158564,162620,23.9,58,12.5,0.3,3.3,0,225661,65702,1802,33870,571,13.9,19.7,41.1,17.6,22,9.4,9.9,80.9,10.5,0.9,2,1.9,3.7,28,149076,77,16.7,6.1,0.1,6.5,48167,TX
48169,Texas,Garza County,6739,4369,2370,54,40.5,4.5,0.1,0.6,0,3472,53832,4373,20635,4165,13.5,26.1,30.3,22.3,15.5,15.2,16.7,71.5,23.8,0,2,2.6,0.1,17.4,2445,72.2,16.7,11.1,0,2,48169,TX
48171,Texas,Gillespie County,25939,12655,13284,22.5,75.6,0.1,0,0.1,0,19514,56267,3468,32557,2310,12.4,22.6,33.6,21.1,21.7,14.3,9.3,72.5,14,0.5,4.4,2.3,6.2,20.7,11800,73.4,8.9,17.2,0.5,5,48171,TX
48173,Texas,Glasscock County,1420,792,628,40.6,59.4,0,0,0,0,855,64886,26246,32885,6824,11.6,6.1,45.3,9.6,17.5,11.1,16.6,77.7,3.8,0,9.9,1.2,7.4,20.6,669,76.8,14.1,9.1,0,0,48173,TX
48175,Texas,Goliad County,7510,3778,3732,35.6,58.6,5.3,0,0.2,0,5773,56737,6539,30075,3418,16.4,31.2,29.4,11.9,24.7,16.7,17.2,76,13.4,0,5.2,0,5.4,29.9,2994,71.7,20.7,7.6,0,6.4,48175,TX
48177,Texas,Gonzales County,20558,10400,10158,50.1,42.3,6.7,0.1,0.2,0,12811,47516,3368,23635,1542,17.2,25,19.5,18,22.8,16.7,23,77.3,14.8,1.3,2.3,1.3,3.1,22.3,8939,76.6,14.8,8.4,0.3,5.1,48177,TX
48179,Texas,Gray County,22962,12143,10819,27.9,64.5,4.3,0.9,0.7,0.1,15721,48314,5246,23457,1409,14.9,20.3,23.1,17.8,24.6,18.3,16.1,85.7,10.3,0,1.5,1.8,0.8,19,9498,81.2,12.1,6.6,0.1,4.9,48179,TX
48181,Texas,Grayson County,126146,61556,64590,12.7,76.4,5.5,1.3,1.3,0,90691,52683,2034,26535,639,14.3,19.7,31.1,18.7,24.6,10.8,14.7,78,12.6,0.4,1.8,1.3,5.9,24.9,57373,79.8,12.5,7.4,0.2,6.5,48181,TX
48183,Texas,Gregg County,123402,60366,63036,18.2,58.3,20.1,0.3,1.4,0.1,84357,47970,1445,25144,748,17.6,24.5,27.8,18.7,25.1,12,16.5,85.3,8.4,0.2,2,1.3,2.8,20.4,55237,84.3,10.1,5.5,0.1,4.8,48183,TX
48185,Texas,Grimes County,27358,15070,12288,23.6,58.7,15.6,0.3,0.1,0,19712,49745,3213,23585,2861,18.6,30.7,23.3,17.9,22.4,14.9,21.4,77.5,16.3,0,1.4,0.9,3.9,27.1,10403,76.7,15.4,7.7,0.3,5.5,48185,TX
48187,Texas,Guadalupe County,150889,74611,76278,37.3,51.4,7.1,0.2,1.7,0,106496,66187,1709,29300,692,10.6,14.6,33.4,15.9,25.5,10.3,14.9,85,8.9,0.2,0.7,1.1,4.1,26.7,70169,76.3,17.8,5.6,0.3,4.5,48187,TX
48189,Texas,Hale County,34527,17906,16621,58.8,34.6,4.4,0.1,0.2,0,22811,46012,2409,19205,866,19.8,27.2,25.6,21.8,21,16,15.6,82.3,12.5,0.4,1.3,0.4,3.2,17.7,14267,74.3,19.1,6.4,0.2,6.4,48189,TX
48191,Texas,Hall County,3102,1552,1550,34.2,56.7,7.4,0.1,0.5,0,2140,31324,4587,20022,3934,22.2,27.7,20.4,25.8,23.4,25.5,4.9,82.6,12.9,0,2,1.5,0.9,15,1125,66.8,22.4,9.3,1.4,13,48191,TX
48193,Texas,Hamilton County,8220,4062,4158,12,85.1,0.7,0.7,0.2,0,6304,46611,6707,26522,3521,16.1,23.8,29,18.9,19.9,18.7,13.4,71.6,16.9,0,6.1,0,5.4,19.1,3584,69.3,18.1,11.1,1.5,3.1,48193,TX
48195,Texas,Hansford County,5532,2760,2772,46.4,53.3,0.1,0.1,0,0,3061,40678,3734,21989,2565,18.7,27.5,32.8,11.3,16.7,19.5,19.7,86.1,7.5,0.4,3,2.2,0.8,14.8,2394,72.6,14.2,13.2,0,3.8,48195,TX
48197,Texas,Hardeman County,3990,1950,2040,21.3,68.6,6.9,0.4,0.5,0,2832,37995,4188,21517,2118,13.8,15.9,30.4,22.1,17.3,19.2,11,77,20.4,0,0.5,2.1,0,15.9,1695,65.3,27.4,6.8,0.5,6.7,48197,TX
48199,Texas,Hardin County,55993,27365,28628,5.4,87,5.6,0.2,0.5,0,41486,56131,3351,29693,1678,12,15,31.9,14.2,24.2,14.2,15.4,86.7,9.4,0.2,0.9,1,1.9,28.3,24056,82.1,13.7,4.1,0.1,4.4,48199,TX
48201,Texas,Harris County,4525519,2251060,2274459,42.2,30.6,18.5,0.2,6.8,0.1,2605043,57791,503,30856,222,16.8,25,35.4,17.4,22.9,11.5,12.8,79.3,10.9,2.7,1.5,1.9,3.7,28.9,2180392,83.4,9.8,6.6,0.2,6.4,48201,TX
48203,Texas,Harrison County,66606,32517,34089,12.7,63.8,21.3,0.3,0.7,0,47243,48644,2576,25123,1681,17.9,24.2,32.4,15.9,20.2,13.5,18,87.5,6.4,0,0.6,1.7,3.8,20.9,27603,80.9,12.8,6.1,0.2,7.2,48203,TX
48205,Texas,Hartley County,5821,3524,2297,26.2,59.6,8.4,0,1.4,0,4159,64427,4662,20676,2181,8.1,11.4,38,14.1,18.1,17.3,12.6,84,8.3,0,2.3,0.8,4.7,11.9,2049,76.2,13,8.8,2,1.2,48205,TX
48207,Texas,Haskell County,5806,3247,2559,27.6,65.8,3.1,0.6,0.7,0,3969,43529,6157,21120,2295,19.3,32.6,22.9,22.3,19.5,17.2,18,79.5,11.9,0,4.4,1.4,2.9,16.1,2180,62.4,18.7,18.1,0.8,9.5,48207,TX
48209,Texas,Hays County,194843,96973,97870,37.8,55.3,3.5,0.2,1.3,0,139025,62815,1681,29253,738,15.3,14.8,37.5,18.7,25.7,9.2,9,78.9,9.8,0.8,2,2.1,6.4,30.1,99069,75.3,17.6,6.9,0.3,5.3,48209,TX
48211,Texas,Hemphill County,4152,1976,2176,35.2,61.8,0.7,0.4,0.3,0,2336,68679,8021,29470,3571,8.8,14.3,31.3,15.4,25.7,17.3,10.2,76.2,15.5,0,4.6,0,3.6,16,1898,73.7,16.9,9.4,0,6.9,48211,TX
48213,Texas,Henderson County,79687,38840,40847,12.1,78.9,6.6,0.9,0.7,0.1,59045,44888,1447,24315,975,18,29.2,29.1,19.6,22.9,14.4,14,82,12,0.1,1.2,0.6,4,30.6,31087,76.2,14.9,8.7,0.2,6.2,48213,TX
48215,Texas,Hidalgo County,839539,410383,429156,91.8,6.6,0.4,0.1,0.9,0,403944,37097,803,15883,288,31.8,43.8,27,23.5,25.6,13,11,80.4,8.8,0.3,1.2,4.4,4.9,21.9,313678,71.2,17.2,11.4,0.1,8.1,48215,TX
48217,Texas,Hill County,35098,17374,17724,20,71.3,6.3,0.2,0.3,0.2,25134,45970,2801,23342,1140,17.5,27,26.2,18.8,22.7,14.2,18.1,79.9,12.3,0,1.4,1.7,4.6,28.5,14579,78,14,7.8,0.3,8.1,48217,TX
48219,Texas,Hockley County,23273,11505,11768,46.9,47.7,3.6,0.6,0.2,0.1,16017,49184,2913,22673,994,14.9,18.7,26.2,17,24.6,19.4,12.8,78.6,16.2,0.1,2,0.7,2.5,19.6,10337,81.1,12.7,6,0.3,7.4,48219,TX
48221,Texas,Hood County,55418,27199,28219,12,84.8,0.7,0.9,0.8,0,42883,60275,2698,32578,1911,12.3,20.3,32.6,14.9,23.3,13.2,16.1,87.7,6.2,0.2,0.5,0.9,4.5,32.5,22905,80.1,10.5,9.1,0.3,3,48221,TX
48223,Texas,Hopkins County,35929,17643,18286,16.3,74,6.7,0.2,0.7,0.1,25059,47832,1988,24236,1087,17.9,27.3,28.4,17.6,22.5,11.8,19.7,82.8,10.4,0.3,2,1,3.5,23.3,15408,78.5,12.7,8.5,0.3,5.9,48223,TX
48225,Texas,Houston County,22849,12274,10575,10.7,62,24.9,0.2,0.4,0,17923,33552,2167,17884,1092,24.7,40.3,24.7,22.2,22.1,12.7,18.3,85.5,8.4,0,1,1.3,3.8,26.4,7642,67.1,21.8,11,0,4.5,48225,TX
48227,Texas,Howard County,36491,20588,15903,41.2,50,5.2,0.7,0.8,0.1,25331,50855,2162,22994,1387,13.9,16.6,29,18.6,22.9,14.9,14.6,80.1,15.9,0.4,1.3,1.1,1.1,18.8,14393,72.7,20.7,6.3,0.3,6.7,48227,TX
48229,Texas,Hudspeth County,3702,1841,1861,78.4,18.5,1.5,0,1.2,0,1737,26346,4472,12543,2216,35.6,51.5,17.8,38.4,14.1,17.5,12.2,78.9,5.6,0,3.8,1.9,9.8,29,1083,63.1,26.4,10.5,0,5.7,48229,TX
